"Reference","Value","Footprint","Qty"
"BR1","DB107S","lib:DIOB_DB107S","1"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C2,C3,C4,C5,C7,C8,C10","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7"
"C9","47uFxx35V","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder","1"
"C11","22uFx16V","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder","1"
"F1","500mA","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1"
"J1","PROG","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1"
"J2","Input1","Connector_Molex:Molex_SL_171971-0002_1x02_P2.54mm_Vertical","1"
"J3","Input2","Connector_Molex:Molex_SL_171971-0002_1x02_P2.54mm_Vertical","1"
"J4","Input3","Connector_Molex:Molex_SL_171971-0002_1x02_P2.54mm_Vertical","1"
"J5","Input4","Connector_Molex:Molex_SL_171971-0002_1x02_P2.54mm_Vertical","1"
"J6","LED","Connector_Molex:Molex_SL_171971-0003_1x03_P2.54mm_Vertical","1"
"J7","Reset","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J8","SPI","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J9","Motor_A","Connector_Molex:Molex_SL_171971-0004_1x04_P2.54mm_Vertical","1"
"J10","Motor_B","Connector_Molex:Molex_SL_171971-0004_1x04_P2.54mm_Vertical","1"
"J11","I2C","Connector_Molex:Molex_SL_171971-0004_1x04_P2.54mm_Vertical","1"
"J12","DAC","Connector_Molex:Molex_SL_171971-0003_1x03_P2.54mm_Vertical","1"
"J13","UART2","Connector_Molex:Molex_SL_171971-0003_1x03_P2.54mm_Vertical","1"
"J14","TRIAC OUT_A","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal","1"
"J15","TRIAC OUT_B","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal","1"
"J16","220V IN","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal","1"
"J17","In12V","Connector_BarrelJack:BarrelJack_Horizontal","1"
"Q1,Q2","BTA16-800B","Package_TO_SOT_THT:TO-220-3_Vertical","2"
"R1,R2,R3,R4,R5,R6","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6"
"R7,R9","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R8,R10","220","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R11","120K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"U1","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32D","1"
"U2,U3","MOC3041M","Package_DIP:SMDIP-6_W9.53mm","2"
"U4","4N25","Package_DIP:SMDIP-6_W9.53mm","1"
"U6","HW-613","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
